0
ELAPSED: 12.227121114730835
wrote to ../../heightmaps/mp_eroded_10000_heightmap1.png
         7980032 function calls (7915230 primitive calls) in 15.640 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1732    0.005    0.000    0.032    0.000 traits_listener.py:1012(__init__)
4382/4260    0.004    0.000    0.007    0.000 pyparsing.py:372(__init__)
     1414    0.004    0.000    0.012    0.000 version.py:198(__init__)
     4889    0.004    0.000    0.006    0.000 has_traits.py:130(_clone_trait)
    10671    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
     1932    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
12746/464    0.004    0.000    3.218    0.007 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     5540    0.004    0.000    0.005    0.000 has_traits.py:3306(_init_trait_observers)
   1415/1    0.004    0.000   15.640   15.640 {built-in method builtins.exec}
     1919    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    25572    0.004    0.000    0.004    0.000 {built-in method builtins.min}
       28    0.004    0.000    0.035    0.001 __init__.py:785(_rc_params_in_file)
   1458/6    0.004    0.000    3.407    0.568 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
        1    0.004    0.004    0.004    0.004 {built-in method mkl._py_mkl_service.get_version}
    22202    0.004    0.000    0.005    0.000 ctrait.py:116(property_fields)
     9504    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(parent)
     1732    0.004    0.000    0.022    0.000 traits_listener.py:1018(parse)
     1187    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
   1313/7    0.004    0.000    3.405    0.486 <frozen importlib._bootstrap>:663(_load_unlocked)
1434/1432    0.004    0.000    0.518    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
    38667    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
     3044    0.004    0.000    0.005    0.000 trait_type.py:176(__init__)
    17486    0.004    0.000    0.008    0.000 sre_parse.py:254(get)
     5238    0.004    0.000    0.004    0.000 has_traits.py:181(is_cython_func_or_method)
      651    0.003    0.000    0.008    0.000 has_traits.py:230(_get_instance_handlers)
     2523    0.003    0.000    0.005    0.000 weakiddict.py:84(__setitem__)
     1321    0.003    0.000    0.018    0.000 traits_listener.py:611(_register_list)
      526    0.003    0.000    0.005    0.000 sre_compile.py:276(_optimize_charset)
     2985    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
  326/294    0.003    0.000    0.135    0.000 group.py:194(__init__)
    11815    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
     1397    0.003    0.000    0.346    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
    16150    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
     2560    0.003    0.000    0.006    0.000 trait_types.py:3357(create_default_value)
 2109/623    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
  954/187    0.003    0.000    0.035    0.000 pyparsing.py:3547(parseImpl)
     1934    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        2    0.003    0.001    0.008    0.004 decoder.py:343(raw_decode)
1644/1202    0.003    0.000    0.020    0.000 traits_listener.py:542(_register_simple)
    12367    0.003    0.000    0.003    0.000 {method '_trait' of 'traits.ctraits.CHasTraits' objects}
    30156    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
    12066    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1919    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
      846    0.003    0.000    0.005    0.000 ntpath.py:178(split)
     1919    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      993    0.003    0.000    0.004    0.000 trait_list_object.py:207(__init__)
  599/597    0.003    0.000    0.016    0.000 traits.py:265(define)
     2735    0.003    0.000    0.004    0.000 trait_type.py:34(_infer_default_value_type)
    15664    0.003    0.000    0.003    0.000 has_traits.py:651(<listcomp>)
     2733    0.003    0.000    0.062    0.000 re.py:271(_compile)
     1237    0.003    0.000    0.005    0.000 functools.py:37(update_wrapper)
     1374    0.002    0.000    0.007    0.000 ntpath.py:75(join)
     1736    0.002    0.000    0.014    0.000 has_traits.py:1328(trait_set)
      758    0.002    0.000    0.003    0.000 version.py:343(_cmpkey)
      412    0.002    0.000    0.047    0.000 item.py:263(__init__)
      668    0.002    0.000    0.028    0.000 ctrait.py:122(property_fields)
  1178/87    0.002    0.000    0.042    0.000 pyparsing.py:3397(parseImpl)
     5666    0.002    0.000    0.005    0.000 enum.py:284(__call__)
     5540    0.002    0.000    0.003    0.000 has_traits.py:3318(_post_init_trait_observers)
     5690    0.002    0.000    0.165    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
    20023    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      973    0.002    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
      160    0.002    0.000    0.002    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    22705    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
     6241    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     4141    0.002    0.000    0.002    0.000 trait_notifiers.py:310(__init__)
     1727    0.002    0.000    0.002    0.000 has_traits.py:926(decorator)
    11521    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
      993    0.002    0.000    0.006    0.000 trait_list_object.py:566(__init__)
      748    0.002    0.000    0.031    0.000 traits.py:503(Property)
     2143    0.002    0.000    0.002    0.000 weakiddict.py:40(__init__)
      745    0.002    0.000    0.134    0.000 has_traits.py:3200(_init_trait_listeners)
    12050    0.002    0.000    0.002    0.000 {method 'copy' of 'dict' objects}
      595    0.002    0.000    0.028    0.000 auto_doc.py:53(format_argument)
     6957    0.002    0.000    0.002    0.000 trait_notifiers.py:486(equals)
     4584    0.002    0.000    0.002    0.000 {built-in method _codecs.charmap_decode}
      159    0.002    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
      380    0.002    0.000    0.004    0.000 trait_types.py:3190(__init__)
     4382    0.002    0.000    0.003    0.000 pyparsing.py:363(__new__)
     2122    0.002    0.000    0.003    0.000 inspect.py:484(unwrap)
      658    0.002    0.000    0.092    0.000 has_traits.py:3230(_init_trait_property_listener)
     3414    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
     2596    0.002    0.000    0.006    0.000 {built-in method builtins.any}
    966/7    0.002    0.000    3.405    0.486 <frozen importlib._bootstrap_external>:722(exec_module)
       21    0.002    0.000    0.002    0.000 {method 'readlines' of '_io._IOBase' objects}
     5131    0.002    0.000    0.002    0.000 pyparsing.py:1351(preParse)
        1    0.002    0.002    0.002    0.002 {imwrite}
     8964    0.002    0.000    0.002    0.000 {method '_notifiers' of 'traits.ctraits.cTrait' objects}
     7273    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
    12676    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     2428    0.002    0.000    0.005    0.000 has_traits.py:694(migrate_property)
        1    0.002    0.002    0.002    0.002 {imread}
        4    0.002    0.000    0.003    0.001 codata.py:1498(parse_constants_2002to2014)
     4291    0.002    0.000    0.002    0.000 traits_listener.py:834(_get_target)
     1732    0.002    0.000    0.004    0.000 traits_listener.py:1166(__init__)
     1732    0.002    0.000    0.024    0.000 traits_listener.py:1156(_text_changed)
      651    0.002    0.000    0.295    0.000 has_traits.py:338(__new__)
      596    0.002    0.000    0.003    0.000 traits.py:449(as_ctrait)
     3753    0.002    0.000    0.003    0.000 pyparsing.py:2431(parseImpl)
     5544    0.002    0.000    0.003    0.000 has_traits.py:2811(trait)
     6358    0.002    0.000    0.004    0.000 has_traits.py:201(is_function_type)
     2604    0.002    0.000    0.006    0.000 trait_notifiers.py:510(_dispatch_change_event)
  779/266    0.002    0.000    0.036    0.000 sre_parse.py:417(_parse_sub)
     1187    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:318(__exit__)
       33    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      966    0.002    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      107    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      966    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     2442    0.002    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      881    0.002    0.000    0.005    0.000 copy.py:66(copy)
      433    0.002    0.000    0.010    0.000 ctrait.py:41(__call__)
     1053    0.002    0.000    0.002    0.000 pyparsing.py:420(__setitem__)
        1    0.002    0.002    0.426    0.426 all.py:2(<module>)
    13403    0.002    0.000    0.002    0.000 {built-in method nt.fspath}
     1316    0.002    0.000    0.014    0.000 traits_listener.py:1042(parse_group)
1188/1156    0.002    0.000    0.712    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
      654    0.002    0.000    0.004    0.000 version.py:131(_legacy_cmpkey)
    10939    0.002    0.000    0.002    0.000 {method 'setdefault' of 'dict' objects}
     7062    0.002    0.000    0.002    0.000 inspect.py:2799(<genexpr>)
    10794    0.002    0.000    0.003    0.000 mathtext.py:2847(<genexpr>)
    13060    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     2387    0.001    0.000    0.031    0.000 inspect.py:594(getdoc)
     2902    0.001    0.000    0.005    0.000 trait_type.py:211(get_default_value)
     2154    0.001    0.000    0.001    0.000 common.py:39(get_tvtk_name)
     7285    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
    16017    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      671    0.001    0.000    0.011    0.000 trait_list_object.py:585(notifier)
     3833    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      411    0.001    0.000    0.040    0.000 has_traits.py:3261(_init_trait_delegate_listener)
     2523    0.001    0.000    0.001    0.000 weakiddict.py:26(_remover)
     1484    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
     4902    0.001    0.000    0.028    0.000 trait_notifiers.py:466(__call__)
     1484    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
     1826    0.001    0.000    0.018    0.000 __init__.py:2079(dist_factory)
     3948    0.001    0.000    0.001    0.000 traits_listener.py:984(_get_next)
     2934    0.001    0.000    0.002    0.000 weakiddict.py:63(__contains__)
    22202    0.001    0.000    0.001    0.000 {method '_get_property' of 'traits.ctraits.cTrait' objects}
     2820    0.001    0.000    0.002    0.000 version.py:114(_parse_version_parts)
     7728    0.001    0.000    0.002    0.000 has_traits.py:311(_property_method)
     1166    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       12    0.001    0.000    0.020    0.002 artist.py:1337(get_setters)
        1    0.001    0.001    0.001    0.001 {built-in method _pickle.load}
     3913    0.001    0.000    0.001    0.000 pyparsing.py:209(__init__)
     4734    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
     1167    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     3853    0.001    0.000    0.006    0.000 trait_notifiers.py:409(__init__)
      616    0.001    0.000    0.062    0.000 __init__.py:2137(distributions_from_metadata)
       37    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
     1610    0.001    0.000    0.004    0.000 ntpath.py:67(isabs)
      837    0.001    0.000    0.003    0.000 pyparsing.py:663(__iadd__)
     1219    0.001    0.000    0.005    0.000 font_manager.py:962(_json_decode)
     1316    0.001    0.000    0.002    0.000 traits_listener.py:1001(_get_name)
2364/2363    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      308    0.001    0.000    0.034    0.000 __init__.py:2587(from_location)
 2089/922    0.001    0.000    0.029    0.000 __init__.py:2396(yield_lines)
      764    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
     1511    0.001    0.000    0.002    0.000 trait_list_object.py:849(_item_validator)
     5658    0.001    0.000    0.001    0.000 enum.py:526(__new__)
      350    0.001    0.000    0.009    0.000 trait_converters.py:137(mapped_trait_for)
     2132    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:403(cached)
     4868    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
    12235    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     4734    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      370    0.001    0.000    0.003    0.000 colors.py:197(_to_rgba_no_colorcycle)
     1738    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     2524    0.001    0.000    0.002    0.000 has_traits.py:2844(base_trait)
     1474    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:147(__enter__)
     3553    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      263    0.001    0.000    0.002    0.000 trait_types.py:1591(__init__)
     8049    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
  357/356    0.001    0.000    0.009    0.000 trait_converters.py:85(trait_from)
       11    0.001    0.000    0.002    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     2632    0.001    0.000    0.002    0.000 traits_listener.py:995(_get_skip_ws)
      555    0.001    0.000    0.025    0.000 {built-in method builtins.sorted}
      791    0.001    0.000    0.017    0.000 traits_listener.py:408(handle_simple)
     8188    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1302    0.001    0.000    0.001    0.000 has_traits.py:3253(notify)
        1    0.001    0.001    0.001    0.001 {built-in method _win32sysloader.LoadModule}
      651    0.001    0.000    0.001    0.000 view_element.py:197(<listcomp>)
     4111    0.001    0.000    0.007    0.000 trait_notifiers.py:553(_notify_function_listener)
     3395    0.001    0.000    0.021    0.000 trait_notifiers.py:478(dispatch)
     3833    0.001    0.000    0.003    0.000 abc.py:137(__instancecheck__)
     1302    0.001    0.000    0.001    0.000 has_traits.py:3242(pre_notify)
      425    0.001    0.000    0.022    0.000 artist.py:1290(get_valid_values)
     2898    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
1433/1432    0.001    0.000    0.519    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
  236/147    0.001    0.000    0.017    0.000 group.py:344(__repr__)
      660    0.001    0.000    0.013    0.000 trait_list_object.py:351(append)
      266    0.001    0.000    0.058    0.000 sre_compile.py:759(compile)
      966    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1241    0.001    0.000    0.015    0.000 __init__.py:655(__setitem__)
     4516    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
      441    0.001    0.000    0.032    0.000 __init__.py:2863(get_entry_map)
   1625/7    0.001    0.000    3.403    0.486 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      266    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
     2604    0.001    0.000    0.004    0.000 has_traits.py:930(wrapper0)
      662    0.001    0.000    0.005    0.000 trait_types.py:2458(validate)
      700    0.001    0.000    0.005    0.000 colors.py:161(to_rgba)
      343    0.001    0.000    0.002    0.000 __init__.py:685(add)
     2094    0.001    0.000    0.040    0.000 inspect.py:3081(signature)
       77    0.001    0.000    0.038    0.000 __init__.py:1625(_get)
      966    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      708    0.001    0.000    0.002    0.000 {method 'sort' of 'list' objects}
      900    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      686    0.001    0.000    0.009    0.000 {method 'trait_items_event' of 'traits.ctraits.CHasTraits' objects}
     5042    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
     8286    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     2848    0.001    0.000    0.001    0.000 version.py:65(_compare)
      595    0.001    0.000    0.001    0.000 textwrap.py:179(<listcomp>)
     8286    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     2177    0.001    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      881    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
      791    0.001    0.000    0.018    0.000 trait_notifiers.py:572(_dispatch_change_event)
        1    0.001    0.001    0.025    0.025 __init__.py:58(<module>)
     1727    0.001    0.000    0.001    0.000 has_traits.py:918(weak_arg)
      966    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.001    0.001    0.001    0.001 tvtk_helper.py:70(TVTK)
      993    0.001    0.000    0.001    0.000 trait_list_object.py:198(__new__)
     2094    0.001    0.000    0.039    0.000 inspect.py:2829(from_callable)
      167    0.001    0.000    0.002    0.000 trait_numeric.py:51(__init__)
      966    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     2934    0.001    0.000    0.001    0.000 version.py:207(<genexpr>)
     3997    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      582    0.001    0.000    0.016    0.000 traits.py:148(Trait)
     1747    0.001    0.000    0.021    0.000 artist.py:1356(is_alias)
     2000    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
      966    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     3375    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     1474    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
       64    0.001    0.000    0.008    0.000 {built-in method builtins.eval}
      616    0.001    0.000    0.001    0.000 genericpath.py:117(_splitext)
      286    0.001    0.000    0.002    0.000 markers.py:249(default_environment)
     5316    0.001    0.000    0.001    0.000 {method 'clone' of 'traits.ctraits.cTrait' objects}
     2899    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      286    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
2148/1732    0.001    0.000    0.001    0.000 traits_listener.py:501(_handler_changed)
       80    0.001    0.000    0.001    0.000 {built-in method binascii.a2b_base64}
     2523    0.001    0.000    0.001    0.000 traits_listener.py:1205(__call__)
      660    0.001    0.000    0.015    0.000 trait_list_object.py:713(append)
   675/53    0.001    0.000    3.249    0.061 {built-in method builtins.__import__}
       12    0.001    0.000    0.016    0.001 artist.py:1262(get_aliases)
     4414    0.001    0.000    0.001    0.000 {method 'set_default_value' of 'traits.ctraits.cTrait' objects}
     1664    0.001    0.000    0.001    0.000 trait_list_object.py:867(_validate_length)
     1036    0.001    0.000    0.012    0.000 version.py:24(parse)
       80    0.001    0.000    0.001    0.000 {built-in method _pickle.loads}
     2552    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
  853/822    0.001    0.000    0.004    0.000 traits_listener.py:393(unregister)
     3017    0.001    0.000    0.001    0.000 has_traits.py:194(is_unbound_method_type)
     4516    0.001    0.000    0.002    0.000 cp437.py:14(decode)
      415    0.001    0.000    0.009    0.000 item.py:408(__repr__)
     7125    0.001    0.000    0.001    0.000 trait_notifiers.py:384(<lambda>)
     1148    0.001    0.000    0.001    0.000 __init__.py:2646(key)
      266    0.001    0.000    0.037    0.000 sre_parse.py:919(parse)
      693    0.001    0.000    0.056    0.000 __init__.py:2774(_get_metadata)
  798/746    0.001    0.000    0.454    0.001 trait_factory.py:38(__call__)
     1327    0.001    0.000    0.001    0.000 pyparsing.py:411(__getitem__)
     2926    0.001    0.000    0.044    0.000 {method 'extend' of 'list' objects}
        1    0.001    0.001    0.002    0.002 vtk_module.py:9(<module>)
     6570    0.001    0.000    0.001    0.000 inspect.py:2517(name)
      791    0.001    0.000    0.019    0.000 trait_notifiers.py:584(_notify_method_listener)
     4746    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     2282    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
  203/176    0.001    0.000    0.691    0.004 <frozen importlib._bootstrap_external>:1040(create_module)
      240    0.001    0.000    0.005    0.000 gzip.py:438(read)
       17    0.001    0.000    0.002    0.000 enum.py:135(__new__)
        1    0.001    0.001    0.001    0.001 color_trait.py:14(<module>)
     1916    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
  599/597    0.001    0.000    0.017    0.000 traits.py:261(__init__)
     5371    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     1187    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.001    0.001    0.001    0.001 codata.py:1510(parse_constants_2018toXXXX)
     1316    0.001    0.000    0.001    0.000 traits_listener.py:992(_get_backspace)
      595    0.001    0.000    0.025    0.000 textwrap.py:368(wrap)
        4    0.001    0.000    0.001    0.000 {built-in method gc.collect}
      326    0.001    0.000    0.011    0.000 group.py:299(set_container)
      320    0.001    0.000    0.001    0.000 {built-in method zlib.crc32}
      145    0.001    0.000    0.003    0.000 deprecation.py:168(deprecate)
     5501    0.001    0.000    0.001    0.000 {method 'default_value_for' of 'traits.ctraits.cTrait' objects}
     3856    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
       12    0.001    0.000    0.001    0.000 artist.py:1273(<listcomp>)
     1976    0.001    0.000    0.001    0.000 has_traits.py:592(<lambda>)
      326    0.001    0.000    0.100    0.000 __init__.py:2047(find_on_path)
      526    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
     1433    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
     1732    0.001    0.000    0.001    0.000 traits_listener.py:1194(__init__)
