0
ELAPSED: 93.84435153007507
wrote to ../../heightmaps/mp_eroded_50000_heightmap1.png
         34583490 function calls (34518688 primitive calls) in 97.285 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4889    0.005    0.000    0.006    0.000 has_traits.py:130(_clone_trait)
     1732    0.005    0.000    0.033    0.000 traits_listener.py:1012(__init__)
    31833    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
4382/4260    0.005    0.000    0.007    0.000 pyparsing.py:372(__init__)
     1414    0.004    0.000    0.012    0.000 version.py:198(__init__)
     1932    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     5540    0.004    0.000    0.005    0.000 has_traits.py:3306(_init_trait_observers)
12746/464    0.004    0.000    3.258    0.007 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   1415/1    0.004    0.000   97.286   97.286 {built-in method builtins.exec}
    10671    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
    22202    0.004    0.000    0.006    0.000 ctrait.py:116(property_fields)
     1919    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1732    0.004    0.000    0.022    0.000 traits_listener.py:1018(parse)
   1458/6    0.004    0.000    3.436    0.573 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    25572    0.004    0.000    0.004    0.000 {built-in method builtins.min}
     1727    0.004    0.000    0.004    0.000 has_traits.py:926(decorator)
     9504    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(parent)
       28    0.004    0.000    0.035    0.001 __init__.py:785(_rc_params_in_file)
   1313/7    0.004    0.000    3.434    0.491 <frozen importlib._bootstrap>:663(_load_unlocked)
1434/1432    0.004    0.000    0.540    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        1    0.004    0.004    0.004    0.004 {built-in method mkl._py_mkl_service.get_version}
     3044    0.004    0.000    0.005    0.000 trait_type.py:176(__init__)
     1187    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     4141    0.004    0.000    0.004    0.000 trait_notifiers.py:310(__init__)
    38667    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
    17486    0.004    0.000    0.008    0.000 sre_parse.py:254(get)
     5238    0.004    0.000    0.004    0.000 has_traits.py:181(is_cython_func_or_method)
      651    0.003    0.000    0.008    0.000 has_traits.py:230(_get_instance_handlers)
     2523    0.003    0.000    0.005    0.000 weakiddict.py:84(__setitem__)
      526    0.003    0.000    0.005    0.000 sre_compile.py:276(_optimize_charset)
    11815    0.003    0.000    0.005    0.000 sre_parse.py:164(__getitem__)
     1321    0.003    0.000    0.018    0.000 traits_listener.py:611(_register_list)
     1397    0.003    0.000    0.364    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
  326/294    0.003    0.000    0.138    0.000 group.py:194(__init__)
     2985    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
     1934    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     2560    0.003    0.000    0.006    0.000 trait_types.py:3357(create_default_value)
    16150    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
  954/187    0.003    0.000    0.035    0.000 pyparsing.py:3547(parseImpl)
 2109/623    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
     1919    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
    12367    0.003    0.000    0.003    0.000 {method '_trait' of 'traits.ctraits.CHasTraits' objects}
      993    0.003    0.000    0.004    0.000 trait_list_object.py:207(__init__)
        2    0.003    0.001    0.008    0.004 decoder.py:343(raw_decode)
  599/597    0.003    0.000    0.017    0.000 traits.py:265(define)
1644/1202    0.003    0.000    0.020    0.000 traits_listener.py:542(_register_simple)
    12066    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
    30156    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      846    0.003    0.000    0.005    0.000 ntpath.py:178(split)
     1919    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
     2735    0.003    0.000    0.004    0.000 trait_type.py:34(_infer_default_value_type)
    15664    0.003    0.000    0.003    0.000 has_traits.py:651(<listcomp>)
     2733    0.003    0.000    0.063    0.000 re.py:271(_compile)
     1374    0.003    0.000    0.007    0.000 ntpath.py:75(join)
     1736    0.002    0.000    0.014    0.000 has_traits.py:1328(trait_set)
     1237    0.002    0.000    0.005    0.000 functools.py:37(update_wrapper)
      412    0.002    0.000    0.048    0.000 item.py:263(__init__)
      668    0.002    0.000    0.029    0.000 ctrait.py:122(property_fields)
  1178/87    0.002    0.000    0.043    0.000 pyparsing.py:3397(parseImpl)
      758    0.002    0.000    0.003    0.000 version.py:343(_cmpkey)
     5690    0.002    0.000    0.168    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     5666    0.002    0.000    0.005    0.000 enum.py:284(__call__)
      973    0.002    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
     5540    0.002    0.000    0.003    0.000 has_traits.py:3318(_post_init_trait_observers)
     4382    0.002    0.000    0.003    0.000 pyparsing.py:363(__new__)
    22705    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
      160    0.002    0.000    0.002    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    20023    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      748    0.002    0.000    0.032    0.000 traits.py:503(Property)
     2143    0.002    0.000    0.002    0.000 weakiddict.py:40(__init__)
      993    0.002    0.000    0.007    0.000 trait_list_object.py:566(__init__)
     6241    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      380    0.002    0.000    0.004    0.000 trait_types.py:3190(__init__)
     4584    0.002    0.000    0.002    0.000 {built-in method _codecs.charmap_decode}
      745    0.002    0.000    0.138    0.000 has_traits.py:3200(_init_trait_listeners)
    11521    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
    12050    0.002    0.000    0.002    0.000 {method 'copy' of 'dict' objects}
      658    0.002    0.000    0.094    0.000 has_traits.py:3230(_init_trait_property_listener)
    966/7    0.002    0.000    3.434    0.491 <frozen importlib._bootstrap_external>:722(exec_module)
      159    0.002    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
      595    0.002    0.000    0.028    0.000 auto_doc.py:53(format_argument)
     2122    0.002    0.000    0.003    0.000 inspect.py:484(unwrap)
     6957    0.002    0.000    0.002    0.000 trait_notifiers.py:486(equals)
     8964    0.002    0.000    0.002    0.000 {method '_notifiers' of 'traits.ctraits.cTrait' objects}
      651    0.002    0.000    0.301    0.000 has_traits.py:338(__new__)
     3414    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
     1732    0.002    0.000    0.024    0.000 traits_listener.py:1156(_text_changed)
     2428    0.002    0.000    0.005    0.000 has_traits.py:694(migrate_property)
     2596    0.002    0.000    0.006    0.000 {built-in method builtins.any}
     5131    0.002    0.000    0.002    0.000 pyparsing.py:1351(preParse)
    12676    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     7289    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     1732    0.002    0.000    0.005    0.000 traits_listener.py:1166(__init__)
       21    0.002    0.000    0.002    0.000 {method 'readlines' of '_io._IOBase' objects}
     4291    0.002    0.000    0.002    0.000 traits_listener.py:834(_get_target)
      596    0.002    0.000    0.003    0.000 traits.py:449(as_ctrait)
     3753    0.002    0.000    0.003    0.000 pyparsing.py:2431(parseImpl)
        1    0.002    0.002    0.002    0.002 {imread}
        4    0.002    0.000    0.003    0.001 codata.py:1498(parse_constants_2002to2014)
     6358    0.002    0.000    0.004    0.000 has_traits.py:201(is_function_type)
     5544    0.002    0.000    0.003    0.000 has_traits.py:2811(trait)
     1187    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2604    0.002    0.000    0.006    0.000 trait_notifiers.py:510(_dispatch_change_event)
      966    0.002    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      107    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      966    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
  779/266    0.002    0.000    0.036    0.000 sre_parse.py:417(_parse_sub)
       33    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
     1053    0.002    0.000    0.002    0.000 pyparsing.py:420(__setitem__)
      433    0.002    0.000    0.010    0.000 ctrait.py:41(__call__)
     2442    0.002    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
    10939    0.002    0.000    0.002    0.000 {method 'setdefault' of 'dict' objects}
        1    0.002    0.002    0.432    0.432 all.py:2(<module>)
     1316    0.002    0.000    0.015    0.000 traits_listener.py:1042(parse_group)
     2902    0.002    0.000    0.005    0.000 trait_type.py:211(get_default_value)
    13403    0.002    0.000    0.002    0.000 {built-in method nt.fspath}
     2523    0.002    0.000    0.002    0.000 weakiddict.py:26(_remover)
      881    0.002    0.000    0.005    0.000 copy.py:66(copy)
     7062    0.002    0.000    0.002    0.000 inspect.py:2799(<genexpr>)
1188/1156    0.002    0.000    0.679    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
     2154    0.002    0.000    0.002    0.000 common.py:39(get_tvtk_name)
     2387    0.002    0.000    0.031    0.000 inspect.py:594(getdoc)
        1    0.002    0.002    0.002    0.002 {imwrite}
      654    0.002    0.000    0.004    0.000 version.py:131(_legacy_cmpkey)
